
Features Used: x_position, y_position, accelerometer_x, accelerometer_y, accelerometer_z
No Grouping
Min Gesture Length 50

Best Result:
States 6 | Mixtures 7 | AUC 0.9387954779033916 | EER 0.11771428571428572


States 2 | Mixtures 2 | AUC 0.8748694758478931 | EER 0.21485714285714286
States 2 | Mixtures 3 | AUC 0.8914039054470709 | EER 0.19657142857142856
States 2 | Mixtures 4 | AUC 0.8877615621788284 | EER 0.19885714285714284
States 2 | Mixtures 5 | AUC 0.8576772867420349 | EER 0.224
States 2 | Mixtures 6 | AUC 0.8873833504624872 | EER 0.19885714285714284
States 2 | Mixtures 7 | AUC 0.8815128468653649 | EER 0.20914285714285713
States 2 | Mixtures 8 | AUC 0.8947831449126412 | EER 0.18971428571428572
States 2 | Mixtures 9 | AUC 0.8912147995889003 | EER 0.19428571428571428
States 2 | Mixtures 10 | AUC 0.8926372045220966 | EER 0.192
States 2 | Mixtures 11 | AUC 0.878010277492292 | EER 0.20114285714285715
States 2 | Mixtures 12 | AUC 0.8791860226104832 | EER 0.20342857142857143
States 2 | Mixtures 13 | AUC 0.8968633093525179 | EER 0.18514285714285714
States 2 | Mixtures 14 | AUC 0.8998725590955806 | EER 0.192
States 2 | Mixtures 15 | AUC 0.8951613566289826 | EER 0.18514285714285714
States 2 | Mixtures 16 | AUC 0.8981706063720452 | EER 0.18171428571428572
States 2 | Mixtures 17 | AUC 0.8997410071942447 | EER 0.18514285714285714
States 2 | Mixtures 18 | AUC 0.9125179856115108 | EER 0.176
States 2 | Mixtures 19 | AUC 0.9097389516957862 | EER 0.17942857142857144
States 2 | Mixtures 20 | AUC 0.9091223021582735 | EER 0.18285714285714286
States 2 | Mixtures 21 | AUC 0.9213812949640288 | EER 0.17142857142857143
States 2 | Mixtures 22 | AUC 0.9386968139773896 | EER 0.13485714285714287
States 2 | Mixtures 23 | AUC 0.9208386433710175 | EER 0.17257142857142857
States 2 | Mixtures 24 | AUC 0.9189064748201439 | EER 0.17257142857142857
States 2 | Mixtures 25 | AUC 0.933426515930113 | EER 0.15657142857142858
States 2 | Mixtures 26 | AUC 0.931551901336074 | EER 0.16
States 2 | Mixtures 27 | AUC 0.9384337101747174 | EER 0.14971428571428572
States 2 | Mixtures 28 | AUC 0.9301623843782117 | EER 0.1657142857142857
States 2 | Mixtures 29 | AUC 0.931584789311408 | EER 0.16342857142857142
States 2 | Mixtures 30 | AUC 0.9127564234326824 | EER 0.184
States 3 | Mixtures 2 | AUC 0.9078478931140802 | EER 0.18171428571428572
States 3 | Mixtures 3 | AUC 0.9056526207605344 | EER 0.18057142857142858
States 3 | Mixtures 4 | AUC 0.9147297019527235 | EER 0.17142857142857143
States 3 | Mixtures 5 | AUC 0.8613031860226105 | EER 0.21142857142857144
States 3 | Mixtures 6 | AUC 0.8530647482014388 | EER 0.22057142857142858
States 3 | Mixtures 7 | AUC 0.8454347379239466 | EER 0.22171428571428572
States 3 | Mixtures 8 | AUC 0.8581952723535458 | EER 0.21257142857142858
States 3 | Mixtures 9 | AUC 0.8971099691675231 | EER 0.18285714285714286
States 3 | Mixtures 10 | AUC 0.8983021582733813 | EER 0.19085714285714286
